Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Packets/s,Bwd Packets/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.100.150-192.168.100.7-45264-80-6,192.168.100.150,45264,192.168.100.7,80,6,04/06/2018 02:38:56 PM,19797619,3,5,561.0,1124.0,561.0,0.0,187.0,323.8935010153801,1124.0,0.0,224.8,502.6680813419528,85.1112449431419,0.4040889967626915,2828231.285714285,5699827.757549103,15140545.0,32.0,4656936.0,2328468.0,3292683.738788468,4656747.0,189.0,19797619.0,4949404.75,7139917.039614693,15140585.0,106.0,0,0,0,0,96,176,0.1515333737860093,0.2525556229766821,0.0,1124.0,187.22222222222223,397.2762822576304,157828.44444444444,0,1,0,0,0,0,0,0,1.0,210.625,187.0,224.8,0,0,0,0,0,0,3,561,5,1124,-1,217,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.100.148-192.168.100.3-33702-80-6,192.168.100.148,33702,192.168.100.3,80,6,04/06/2018 02:36:00 PM,8007188,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249775576644385,8007188.0,0.0,8007188.0,8007188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,0.1248877883221925,0.1248877883221925,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,237,0,0,0.0,0.0,0.0,0.0,8007188.0,0.0,8007188.0,8007188.0,1
192.168.100.149-192.168.100.3-41744-80-6,192.168.100.149,41744,192.168.100.3,80,6,04/06/2018 02:32:12 PM,2002635,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986842335223344,2002635.0,0.0,2002635.0,2002635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,0.4993421167611671,0.4993421167611671,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,237,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.100.149-192.168.100.3-42236-80-6,192.168.100.149,42236,192.168.100.3,80,6,04/06/2018 02:32:40 PM,1989632,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.005211013896037,1989632.0,0.0,1989632.0,1989632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,0.5026055069480185,0.5026055069480185,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,237,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.100.149-192.168.100.7-54228-80-6,192.168.100.149,54228,192.168.100.7,80,6,04/06/2018 02:48:23 PM,112683805,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0177487794275317,112683805.0,0.0,112683805.0,112683805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,0.0088743897137658,0.0088743897137658,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,251,0,0,0.0,0.0,0.0,0.0,112683805.0,0.0,112683805.0,112683805.0,1
192.168.100.149-192.168.100.3-42326-80-6,192.168.100.149,42326,192.168.100.3,80,6,04/06/2018 02:32:28 PM,12015288,3,5,271.0,494.0,271.0,0.0,90.33333333333334,156.46192295038858,494.0,0.0,98.8,220.9235161769792,63.66888583944056,0.6658184140072214,1716469.7142857143,2988002.705930486,7010205.0,15.0,7010261.0,3505130.5,4956969.149862091,7010237.0,24.0,12015288.0,3003822.0,3563762.1836983827,7010205.0,19.0,0,0,0,0,96,176,0.249681905252708,0.4161365087545134,0.0,494.0,85.0,177.6414929007297,31556.5,0,1,0,0,0,0,0,0,1.0,95.625,90.33333333333331,98.8,0,0,0,0,0,0,3,271,5,494,-1,235,1,0,84.0,0.0,84.0,84.0,7010205.0,0.0,7010205.0,7010205.0,1
192.168.100.149-192.168.100.7-48746-80-6,192.168.100.149,48746,192.168.100.7,80,6,04/06/2018 02:41:51 PM,34058553,3,5,459.0,1124.0,459.0,0.0,153.0,265.00377355803823,1124.0,0.0,224.8,502.6680813419528,46.47878023473281,0.2348896032077463,4865507.571428571,8380420.776793388,18915632.0,14.0,18915847.0,9457923.5,13375298.825630791,18915688.0,159.0,34058553.0,8514638.25,9951645.162732856,18915632.0,14.0,0,0,0,0,96,176,0.0880836012029048,0.1468060020048414,0.0,1124.0,175.88888888888889,386.5916593915487,149453.11111111115,0,1,0,0,0,0,0,0,1.0,197.875,153.0,224.8,0,0,0,0,0,0,3,459,5,1124,-1,215,1,0,238.0,0.0,238.0,238.0,18915632.0,0.0,18915632.0,18915632.0,1
192.168.100.149-192.168.100.7-55562-80-6,192.168.100.149,55562,192.168.100.7,80,6,04/06/2018 02:49:37 PM,39149072,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0510867792728267,39149072.0,0.0,39149072.0,39149072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,0.0255433896364133,0.0255433896364133,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,251,0,0,0.0,0.0,0.0,0.0,39149072.0,0.0,39149072.0,39149072.0,1
192.168.100.148-192.168.100.3-58856-80-6,192.168.100.148,58856,192.168.100.3,80,6,04/06/2018 02:34:39 PM,21801298,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0917376570881238,21801298.0,0.0,21801298.0,21801298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,0.0458688285440619,0.0458688285440619,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,237,0,0,0.0,0.0,0.0,0.0,21801298.0,0.0,21801298.0,21801298.0,1
192.168.100.149-192.168.100.7-52592-80-6,192.168.100.149,52592,192.168.100.7,80,6,04/06/2018 02:46:45 PM,82108651,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0243579692960733,82108651.0,0.0,82108651.0,82108651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,0.0121789846480366,0.0121789846480366,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,251,0,0,0.0,0.0,0.0,0.0,82108651.0,0.0,82108651.0,82108651.0,1
