Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
147.32.84.165-86.65.39.15-113-44048-6,86.65.39.15,44048,147.32.84.165,113,6,15/08/2011 03:45:28 PM,76582,4,5,13.0,56.0,13.0,0.0,3.2500000000000004,6.5,28.0,0.0,11.2,15.336231610144653,900.995011882688,117.52108850643756,9572.75,17528.974240627183,38038.0,12.0,38429.0,12809.666666666668,22070.149848456706,38294.0,12.0,38532.0,9633.0,19094.242797241262,38274.0,12.0,0,0,0,0,128,192,52.23159489175002,65.28949361468753,0.0,28.0,6.9,11.836384583140244,140.10000000000002,0,1,0,0,0,0,0,0,1.0,7.666666666666667,3.25,11.2,0,0,0,0,0,0,4,13,5,56,-1,64227,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,15/08/2011 03:44:10 PM,119997245,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0250005739715107,59998622.5,5216.3267248131615,60002311.0,59994934.0,59994934.0,59994934.0,0.0,59994934.0,59994934.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166670493143405,0.0083335246571702,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,59998622.5,5216.3267248131615,60002311.0,59994934.0,1
147.32.84.165-86.65.39.15-1037-6667-6,147.32.84.165,1037,86.65.39.15,6667,6,15/08/2011 03:45:28 PM,4061792,19,13,556.0,11023.0,211.0,0.0,29.26315789473684,65.77980279797401,2920.0,0.0,847.923076923077,922.9485776158264,2850.712197965824,7.878296082123359,131025.5483870968,360270.759601057,1806683.0,8.0,4061784.0,225654.66666666663,515440.80128132016,2070670.0,11.0,3899256.0,324938.0,541130.2348546219,1806683.0,236.0,0,0,0,0,388,276,4.677738298760745,3.2005577833626147,0.0,2920.0,350.8787878787879,698.2119018238552,487499.85984848486,0,1,0,0,0,0,0,0,0.0,361.84375,29.26315789473684,847.9230769230769,0,0,0,0,0,0,19,556,13,11023,-1,6432,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,15/08/2011 03:47:10 PM,59995151,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333360274399509,59995151.0,0.0,59995151.0,59995151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166680137199754,0.0166680137199754,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,59995151.0,0.0,59995151.0,59995151.0,1
147.32.84.165-86.65.39.15-1037-6667-6,147.32.84.165,1037,86.65.39.15,6667,6,15/08/2011 03:47:32 PM,109221845,4,3,60.0,84.0,30.0,0.0,15.0,17.320508075688775,54.0,0.0,28.0,27.05549851693737,1.3184175747992537,0.0640897432194081,18203640.83333333,44488424.24734842,109015159.0,10.0,109221462.0,36407154.0,63059019.70237482,109221438.0,10.0,109053384.0,54526692.0,77058329.02431883,109015159.0,38225.0,0,1,0,0,80,60,0.0366227104110903,0.0274670328083177,0.0,54.0,21.75,19.75384230255688,390.2142857142857,0,0,0,1,1,0,0,0,0.0,24.857142857142858,15.0,28.0,0,0,0,0,0,0,4,60,3,84,-1,6432,2,0,38225.0,0.0,38225.0,38225.0,109015159.0,0.0,109015159.0,109015159.0,1
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,15/08/2011 03:49:10 PM,119998109,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0250003939645415,59999054.5,7230.166837632449,60004167.0,59993942.0,60004167.0,60004167.0,0.0,60004167.0,60004167.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166669293096943,0.0083334646548471,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,59999054.5,7230.166837632449,60004167.0,59993942.0,1
147.32.84.165-86.65.39.15-1037-6667-6,147.32.84.165,1037,86.65.39.15,6667,6,15/08/2011 03:50:08 PM,47182857,6,6,458.0,169.0,118.0,30.0,76.33333333333333,39.520458836742606,73.0,0.0,28.166666666666664,34.13160802931304,13.28872475865546,0.254329660452736,4289350.636363638,12669707.37489331,42241131.0,13.0,47144090.0,9428818.0,18484427.246157102,42279357.0,13.0,47182857.0,9436571.4,18455043.03277911,42241131.0,38330.0,0,1,0,0,120,120,0.127164830226368,0.127164830226368,0.0,118.0,50.53846153846154,41.88399731125517,1754.2692307692307,0,0,0,1,1,0,0,0,1.0,54.75,76.33333333333333,28.166666666666668,0,0,0,0,0,0,6,458,6,169,-1,6432,6,0,38330.0,0.0,38330.0,38330.0,42241131.0,0.0,42241131.0,42241131.0,1
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,15/08/2011 03:52:10 PM,60003901,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333311662520075,60003901.0,0.0,60003901.0,60003901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166655831260037,0.0166655831260037,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,60003901.0,0.0,60003901.0,60003901.0,1
147.32.84.165-86.65.39.15-1037-6667-6,147.32.84.165,1037,86.65.39.15,6667,6,15/08/2011 03:53:23 PM,38209,2,2,60.0,30.0,30.0,30.0,30.0,0.0,30.0,0.0,15.0,21.213203435596427,2355.465989688293,104.68737731947972,12736.333333333334,21708.322513113108,37802.0,15.0,15.0,15.0,0.0,15.0,15.0,38209.0,38209.0,0.0,38209.0,38209.0,0,1,0,0,40,40,52.343688659739854,52.343688659739854,0.0,30.0,24.0,13.41640786499874,180.0,0,0,0,1,1,0,0,0,1.0,30.0,30.0,15.0,0,0,0,0,0,0,2,60,2,30,-1,6432,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,15/08/2011 03:54:10 PM,119997485,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0250005239693148,59998742.5,6477.805222449962,60003323.0,59994162.0,60003323.0,60003323.0,0.0,60003323.0,60003323.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166670159795432,0.0083335079897716,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,59998742.5,6477.805222449962,60003323.0,59994162.0,1
147.32.84.165-86.65.39.15-1037-6667-6,147.32.84.165,1037,86.65.39.15,6667,6,15/08/2011 03:55:59 PM,119979001,4,3,168.0,118.0,54.0,30.0,42.0,13.856406460551018,88.0,0.0,39.33333333333333,44.73626418615365,2.3837504698009613,0.0583435429671563,19996500.166666668,48962104.623263866,119939973.0,13.0,119978606.0,39992868.66666667,69269657.08841014,119978579.0,13.0,119978267.0,59989133.5,84783290.29655266,119939973.0,38294.0,0,1,0,0,80,60,0.0333391674098036,0.0250043755573527,0.0,88.0,39.49999999999999,25.89539396439893,670.5714285714286,0,0,0,1,1,0,0,0,0.0,45.142857142857146,42.0,39.333333333333336,0,0,0,0,0,0,4,168,3,118,-1,6432,4,0,38294.0,0.0,38294.0,38294.0,119939973.0,0.0,119939973.0,119939973.0,1
